model,category,index,subject,prompttemplate,promptcategory,difficulty,goldenrecordImages,expectedValue,annotation_prompt_0,annotation_prompt_1,annotation_prompt_2,extract_caption,questions,image,answers,quest1,quest2,quest3,quest4,quest5,quest6,quest7,quest8,quest9,quest10,quest11,quest12
sdv15,Maps,447,,(imperative) a realistic map illustrating (place) in (suggestion),maps,1,goldenrecordImages/maps/usa/maps_usa_1900.png,,Is the following subject present in the image: 'Map of usa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a realistic map illustrating the usa in 1900'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Produce a realistic map illustrating the usa in 1900,"['What is the primary object depicted in the image?', 'What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A graph    **D)** A painting', 'Which country is illustrated in the map?', 'What geographical area does the map represent?    **A)** Europe    **B)** Asia    **C)** The USA    **D)** Africa', 'In which year is the map set?', 'What year does the map illustrate the USA as of?    **A)** 1800    **B)** 1850    **C)** 1900    **D)** 1950', 'How would you describe the style of the map?', 'What style is the map intended to be?    **A)** Abstract    **B)** Cartoonish    **C)** Realistic    **D)** Sketchy', 'What is the purpose of the map?', 'Why was the map likely produced?    **A)** For decorative purposes    **B)** For educational purposes    **C)** For navigational purposes    **D)** For all of the above']",generatedImages/sdv15/Maps/image_447.png,"['A map', 'B) A map', 'The USA', 'C) The USA', '1900', 'C) 1900', 'Realistic', 'C) Realistic', 'To illustrate the USA in 1900 realistically.', 'D) For all of the above']",What is the primary object depicted in the image?,What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A graph    **D)** A painting,Which country is illustrated in the map?,What geographical area does the map represent?    **A)** Europe    **B)** Asia    **C)** The USA    **D)** Africa,In which year is the map set?,What year does the map illustrate the USA as of?    **A)** 1800    **B)** 1850    **C)** 1900    **D)** 1950,How would you describe the style of the map?,What style is the map intended to be?    **A)** Abstract    **B)** Cartoonish    **C)** Realistic    **D)** Sketchy,What is the purpose of the map?,Why was the map likely produced?    **A)** For decorative purposes    **B)** For educational purposes    **C)** For navigational purposes    **D)** For all of the above,,
sdxlturbo,Maps,734,,(imperative) a realistic map that accurately depicts (place) in (suggestion),maps,1,goldenrecordImages/maps/south_africa/maps_south africa_1900.png,,Is the following subject present in the image: 'Map of south africa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a realistic map that accurately depicts south africa in 1900'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Generate a realistic map that accurately depicts south africa in 1900,"['What is the primary object depicted in the image?', 'What is the main subject of the image?    **A)** A photograph of a person    **B)** A map    **C)** A painting of an animal    **D)** A graph showing economic data', 'Which country is the focus of the map?', 'What geographical area does the map depict?    **A)** North America    **B)** South Africa    **C)** Europe    **D)** Australia', 'In what year is the map set?', 'What year does the map represent?    **A)** 1800    **B)** 1850    **C)** 1900    **D)** 1950', 'How would you describe the style of the map?', 'What is the style of the map?    **A)** Abstract    **B)** Cartoonish    **C)** Realistic    **D)** Sketch', 'What is unique about the depiction of South Africa in this map compared to modern maps?', 'Why might a map of South Africa from 1900 be of historical interest?    **A)** To study current geographical features    **B)** To understand the political divisions of the time    **C)** To plan a modern trip    **D)** To learn about the local flora']",generatedImages/sdxlturbo/Maps/image_734.png,"['A map', 'B) A map', 'South Africa', 'B) South Africa', '1900', 'C) 1900', 'Realistic', 'C) Realistic', '(This could vary based on historical context, e.g., borders, territories, etc.)', 'B) To understand the political divisions of the time']",What is the primary object depicted in the image?,What is the main subject of the image?    **A)** A photograph of a person    **B)** A map    **C)** A painting of an animal    **D)** A graph showing economic data,Which country is the focus of the map?,What geographical area does the map depict?    **A)** North America    **B)** South Africa    **C)** Europe    **D)** Australia,In what year is the map set?,What year does the map represent?    **A)** 1800    **B)** 1850    **C)** 1900    **D)** 1950,How would you describe the style of the map?,What is the style of the map?    **A)** Abstract    **B)** Cartoonish    **C)** Realistic    **D)** Sketch,What is unique about the depiction of South Africa in this map compared to modern maps?,Why might a map of South Africa from 1900 be of historical interest?    **A)** To study current geographical features    **B)** To understand the political divisions of the time    **C)** To plan a modern trip    **D)** To learn about the local flora,,
blackforest,Maps,76,,(imperative) a realistic map of (place) in (suggestion),maps,1,goldenrecordImages/maps/usa/maps_usa_1800.png,,Is the following subject present in the image: 'Map of usa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of the usa in 1800'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a realistic map of the usa in 1800,"['What is the primary object being described in the request?', 'What is being asked for?    **A)** A picture of a city    **B)** A map of the USA    **C)** A historical figure    **D)** A type of food', 'Which country is the map supposed to represent?', 'What is the geographical area the map should cover?    **A)** Europe    **B)** Asia    **C)** The USA    **D)** Africa', 'In what year should the map represent the USA?', 'What year is specified for the map?    **A)** 1700    **B)** 1800    **C)** 1900    **D)** 2000', 'What kind of map is being requested?', 'How is the map supposed to be?    **A)** Cartoonish    **B)** Abstract    **C)** Realistic    **D)** Simplified', 'What is the purpose of specifying the year 1800 for the map of the USA?', 'Why might someone want a realistic map of the USA from 1800?    **A)** For a school project    **B)** For navigation    **C)** For historical research    **D)** All of the above']",generatedImages/blackforest/Maps/image_76.png,"['A map', 'B) A map of the USA', 'The USA', 'C) The USA', '1800', 'B) 1800', 'A realistic map', 'C) Realistic', 'To show the geographical and political boundaries as they were in that year.', 'D) All of the above']",What is the primary object being described in the request?,What is being asked for?    **A)** A picture of a city    **B)** A map of the USA    **C)** A historical figure    **D)** A type of food,Which country is the map supposed to represent?,What is the geographical area the map should cover?    **A)** Europe    **B)** Asia    **C)** The USA    **D)** Africa,In what year should the map represent the USA?,What year is specified for the map?    **A)** 1700    **B)** 1800    **C)** 1900    **D)** 2000,What kind of map is being requested?,How is the map supposed to be?    **A)** Cartoonish    **B)** Abstract    **C)** Realistic    **D)** Simplified,What is the purpose of specifying the year 1800 for the map of the USA?,Why might someone want a realistic map of the USA from 1800?    **A)** For a school project    **B)** For navigation    **C)** For historical research    **D)** All of the above,,
sdv15,Maps,715,,(imperative) a realistic map that accurately depicts (place) in (suggestion),maps,1,goldenrecordImages/maps/middle_east/maps_middle east_1914.png,,Is the following subject present in the image: 'Map of middle east'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a realistic map that accurately depicts the middle east in 1914'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Produce a realistic map that accurately depicts the middle east in 1914,"['What is the primary object being described in the task?', 'What is the main object that needs to be produced?    **A)** A book    **B)** A map    **C)** A photograph    **D)** A video', 'Which region is the map supposed to depict?', 'What geographical area should the map accurately show?    **A)** Europe    **B)** Asia    **C)** The Middle East    **D)** Africa', 'In which year should the map depict the Middle East?', 'What year is the map supposed to represent?    **A)** 1800    **B)** 1850    **C)** 1914    **D)** 2000', 'How should the map depict the Middle East?', 'What kind of depiction is required for the map of the Middle East?    **A)** Abstract    **B)** Realistic    **C)** Futuristic    **D)** Cartoonish', 'What is the overall goal of the task described?', 'What is the purpose of creating this map?    **A)** For a school project    **B)** For a historical documentary    **C)** To navigate the current Middle East    **D)** To accurately depict the Middle East in 1914']",generatedImages/sdv15/Maps/image_715.png,"['A map', 'B) A map', 'The Middle East', 'C) The Middle East', '1914', 'C) 1914', 'Realistically', 'B) Realistic', 'To produce a realistic map of the Middle East as it was in 191', 'D) To accurately depict the Middle East in 1914']",What is the primary object being described in the task?,What is the main object that needs to be produced?    **A)** A book    **B)** A map    **C)** A photograph    **D)** A video,Which region is the map supposed to depict?,What geographical area should the map accurately show?    **A)** Europe    **B)** Asia    **C)** The Middle East    **D)** Africa,In which year should the map depict the Middle East?,What year is the map supposed to represent?    **A)** 1800    **B)** 1850    **C)** 1914    **D)** 2000,How should the map depict the Middle East?,What kind of depiction is required for the map of the Middle East?    **A)** Abstract    **B)** Realistic    **C)** Futuristic    **D)** Cartoonish,What is the overall goal of the task described?,What is the purpose of creating this map?    **A)** For a school project    **B)** For a historical documentary    **C)** To navigate the current Middle East    **D)** To accurately depict the Middle East in 1914,,
blackforest,Maps,370,,(imperative) a realistic map illustrating (place) in (suggestion),maps,1,goldenrecordImages/maps/europe/maps_europe_1940.png,,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a realistic map illustrating europe in 1940'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Generate a realistic map illustrating europe in 1940,"['What is the primary object depicted in the image?', 'What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A graph    **D)** A painting', 'Which continent is illustrated in the map?', 'What region is primarily shown in the map?    **A)** Asia    **B)** Africa    **C)** Europe    **D)** North America', 'In what year is the map set?', 'What year does the map represent?    **A)** 1900    **B)** 1940    **C)** 1950    **D)** 1960', 'What style is the map illustrated in?', 'How would you describe the style of the map?    **A)** Cartoonish    **B)** Abstract    **C)** Realistic    **D)** Sketchy', 'What historical period does the map reflect?', 'What significant event was happening in Europe around the time the map represents?    **A)** The Renaissance    **B)** World War I    **C)** World War II    **D)** The Cold War']",generatedImages/blackforest/Maps/image_370.png,"['A map', 'B) A map', 'Europe', 'C) Europe', '1940', 'B) 1940', 'Realistic', 'C) Realistic', 'World War II era', 'C) World War II']",What is the primary object depicted in the image?,What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A graph    **D)** A painting,Which continent is illustrated in the map?,What region is primarily shown in the map?    **A)** Asia    **B)** Africa    **C)** Europe    **D)** North America,In what year is the map set?,What year does the map represent?    **A)** 1900    **B)** 1940    **C)** 1950    **D)** 1960,What style is the map illustrated in?,How would you describe the style of the map?    **A)** Cartoonish    **B)** Abstract    **C)** Realistic    **D)** Sketchy,What historical period does the map reflect?,What significant event was happening in Europe around the time the map represents?    **A)** The Renaissance    **B)** World War I    **C)** World War II    **D)** The Cold War,,
sdv15,Maps,70,,(imperative) a realistic map of (place) in (suggestion),maps,1,goldenrecordImages/maps/usa/maps_usa_1820.png,,Is the following subject present in the image: 'Map of usa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of the usa in 1820'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a realistic map of the usa in 1820,"['What is the primary object depicted in the image?', 'What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A painting    **D)** A graph', 'Which country is the map representing?', 'What geographical area does the map cover?    **A)** Europe    **B)** Asia    **C)** The United States of America    **D)** Africa', 'In what year is the map set or representing?', 'What year does the map depict?    **A)** 1800    **B)** 1820    **C)** 1850    **D)** 1900', 'What style is the map intended to be?', 'How is the map described in terms of its representation?    **A)** Abstract    **B)** Cartoonish    **C)** Realistic    **D)** Simplified', 'What is unique about the time period the map represents?', 'Why might a map of the USA from 1820 be of historical interest?    **A)** Because it shows the modern day borders of the USA    **B)** Because it represents a time before the USA existed    **C)** Because it shows the USA during a period of significant territorial expansion and development    **D)** Because it is the first map ever made of the USA']",generatedImages/sdv15/Maps/image_70.png,"['A map', 'B) A map', 'The United States of America (USA)', 'C) The United States of America', '1820', 'B) 1820', 'Realistic', 'C) Realistic', 'It represents the USA in the early 19th century, a time of significant expansion and development.', 'C) Because it shows the USA during a period of significant territorial expansion and development']",What is the primary object depicted in the image?,What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A painting    **D)** A graph,Which country is the map representing?,What geographical area does the map cover?    **A)** Europe    **B)** Asia    **C)** The United States of America    **D)** Africa,In what year is the map set or representing?,What year does the map depict?    **A)** 1800    **B)** 1820    **C)** 1850    **D)** 1900,What style is the map intended to be?,How is the map described in terms of its representation?    **A)** Abstract    **B)** Cartoonish    **C)** Realistic    **D)** Simplified,What is unique about the time period the map represents?,Why might a map of the USA from 1820 be of historical interest?    **A)** Because it shows the modern day borders of the USA    **B)** Because it represents a time before the USA existed    **C)** Because it shows the USA during a period of significant territorial expansion and development    **D)** Because it is the first map ever made of the USA,,
sdv15,Maps,677,,(imperative) a realistic map that accurately depicts (place) in (suggestion),maps,1,goldenrecordImages/maps/asia/maps_asia_1800.png,,Is the following subject present in the image: 'Map of asia'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map that accurately depicts asia in 1800'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a realistic map that accurately depicts asia in 1800,"['What is the primary object being described?', 'What is the main object in the description?    **A)** A book    **B)** A map    **C)** A globe    **D)** A picture', 'Which continent or region is the map supposed to depict?', 'What region is the map focused on?    **A)** Europe    **B)** Asia    **C)** Africa    **D)** North America', 'In what year is the map supposed to accurately depict Asia?', 'What year does the map represent?    **A)** 1700    **B)** 1800    **C)** 1900    **D)** 2000', 'How is the map supposed to depict Asia?', 'What kind of depiction of Asia is the map supposed to be?    **A)** Abstract    **B)** Realistic    **C)** Futuristic    **D)** Cartoonish', 'What is the purpose of the map as per the description?', 'Why is the map being requested?    **A)** For a modern travel guide    **B)** For a historical study of Asia in 1800    **C)** For a geography competition    **D)** For a decorative piece']",generatedImages/sdv15/Maps/image_677.png,"['A map', 'B) A map', 'Asia', 'B) Asia', '1800', 'B) 1800', 'Realistically', 'B) Realistic', 'To accurately depict Asia in 1800', 'B) For a historical study of Asia in 1800']",What is the primary object being described?,What is the main object in the description?    **A)** A book    **B)** A map    **C)** A globe    **D)** A picture,Which continent or region is the map supposed to depict?,What region is the map focused on?    **A)** Europe    **B)** Asia    **C)** Africa    **D)** North America,In what year is the map supposed to accurately depict Asia?,What year does the map represent?    **A)** 1700    **B)** 1800    **C)** 1900    **D)** 2000,How is the map supposed to depict Asia?,What kind of depiction of Asia is the map supposed to be?    **A)** Abstract    **B)** Realistic    **C)** Futuristic    **D)** Cartoonish,What is the purpose of the map as per the description?,Why is the map being requested?    **A)** For a modern travel guide    **B)** For a historical study of Asia in 1800    **C)** For a geography competition    **D)** For a decorative piece,,
blackforest,Maps,101,,(imperative) a realistic map of (place) in (suggestion),maps,1,goldenrecordImages/maps/middle_east/maps_middle east_1930.png,,Is the following subject present in the image: 'Map of middle east'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of the middle east in 1930'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a realistic map of the middle east in 1930,"['What is the primary object depicted in the image?', 'What is the main subject of the image?    **A)** A photograph of a city    **B)** A map    **C)** A portrait of a person    **D)** A landscape painting', 'Which region is represented in the image?', 'What geographical area does the map cover?    **A)** Europe    **B)** Asia    **C)** The Middle East    **D)** Africa', 'What year does the map represent?', 'In what year is the map set?    **A)** 1900    **B)** 1930    **C)** 1950    **D)** 1980', 'What is distinctive about the map in terms of its representation?', 'How would you describe the style of the map?    **A)** Abstract    **B)** Realistic    **C)** Cartoonish    **D)** Sketchy']",generatedImages/blackforest/Maps/image_101.png,"['A map', 'B) A map', 'The Middle East', 'C) The Middle East', '1930', 'B) 1930', 'It is realistic.', 'B) Realistic']",What is the primary object depicted in the image?,What is the main subject of the image?    **A)** A photograph of a city    **B)** A map    **C)** A portrait of a person    **D)** A landscape painting,Which region is represented in the image?,What geographical area does the map cover?    **A)** Europe    **B)** Asia    **C)** The Middle East    **D)** Africa,What year does the map represent?,In what year is the map set?    **A)** 1900    **B)** 1930    **C)** 1950    **D)** 1980,What is distinctive about the map in terms of its representation?,How would you describe the style of the map?    **A)** Abstract    **B)** Realistic    **C)** Cartoonish    **D)** Sketchy,,,,
sdxlbase,Maps,621,,(imperative) a realistic map that accurately depicts (place) in (suggestion),maps,1,goldenrecordImages/maps/south_america/maps_south america_1850.png,,Is the following subject present in the image: 'Map of south america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map that accurately depicts south america in 1850'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a realistic map that accurately depicts south america in 1850,"['What is the primary object being described?', 'What is the main object in the description?    **A)** A book    **B)** A map    **C)** A globe    **D)** A picture', 'Which continent or region is the map supposed to depict?', 'What region is the map focused on?    **A)** North America    **B)** South America    **C)** Europe    **D)** Africa', 'In what year is the map supposed to accurately depict South America?', 'What year does the map represent?    **A)** 1800    **B)** 1850    **C)** 1900    **D)** 1950', 'How is the map supposed to depict South America?', 'What kind of depiction is the map supposed to be?    **A)** Abstract    **B)** Realistic    **C)** Cartoonish    **D)** Simplified', 'What is the purpose of the map as per the description?', 'Why is the map being requested?    **A)** For a modern travel guide    **B)** To study historical geography    **C)** For decorative purposes    **D)** For a school project on current events']",generatedImages/sdxlbase/Maps/image_621.png,"['A map', 'B) A map', 'South America', 'B) South America', '1850', 'B) 1850', 'Realistically', 'B) Realistic', 'To accurately depict South America in 1850', 'B) To study historical geography']",What is the primary object being described?,What is the main object in the description?    **A)** A book    **B)** A map    **C)** A globe    **D)** A picture,Which continent or region is the map supposed to depict?,What region is the map focused on?    **A)** North America    **B)** South America    **C)** Europe    **D)** Africa,In what year is the map supposed to accurately depict South America?,What year does the map represent?    **A)** 1800    **B)** 1850    **C)** 1900    **D)** 1950,How is the map supposed to depict South America?,What kind of depiction is the map supposed to be?    **A)** Abstract    **B)** Realistic    **C)** Cartoonish    **D)** Simplified,What is the purpose of the map as per the description?,Why is the map being requested?    **A)** For a modern travel guide    **B)** To study historical geography    **C)** For decorative purposes    **D)** For a school project on current events,,
blackforest,Maps,653,,(imperative) a realistic map that accurately depicts (place) in (suggestion),maps,1,goldenrecordImages/maps/north_america/maps_north america_1500.png,,Is the following subject present in the image: 'Map of north america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map that accurately depicts north america in 1500'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a realistic map that accurately depicts north america in 1500,"['What is the primary object being described in the request?', 'What is being asked for in the description?    **A)** A picture of an animal    **B)** A map    **C)** A piece of food    **D)** A type of vehicle', 'Which continent or region is the map supposed to depict?', 'What geographical area should the map show?    **A)** South America    **B)** Europe    **C)** North America    **D)** Africa', 'In what year should the map accurately depict North America?', ""What year is specified for the map's depiction of North America?    **A)** 1200    **B)** 1500    **C)** 1800    **D)** 2000"", 'How is the map supposed to depict North America?', 'What kind of depiction is requested for the map of North America in 1500?    **A)** Cartoonish    **B)** Abstract    **C)** Realistic    **D)** Futuristic', 'What is the overall purpose of the map as per the description?', ""Why is the map being requested?    **A)** For a child's school project    **B)** For a historical study    **C)** For a travel guide    **D)** For a decorative piece""]",generatedImages/blackforest/Maps/image_653.png,"['A map', 'B) A map', 'North America', 'C) North America', '1500', 'B) 1500', 'Realistically', 'C) Realistic', 'To accurately depict North America in the year 150', 'B) For a historical study (This answer assumes the context of the request; the actual purpose might vary based on additional context not provided in the description.)']",What is the primary object being described in the request?,What is being asked for in the description?    **A)** A picture of an animal    **B)** A map    **C)** A piece of food    **D)** A type of vehicle,Which continent or region is the map supposed to depict?,What geographical area should the map show?    **A)** South America    **B)** Europe    **C)** North America    **D)** Africa,In what year should the map accurately depict North America?,What year is specified for the map's depiction of North America?    **A)** 1200    **B)** 1500    **C)** 1800    **D)** 2000,How is the map supposed to depict North America?,What kind of depiction is requested for the map of North America in 1500?    **A)** Cartoonish    **B)** Abstract    **C)** Realistic    **D)** Futuristic,What is the overall purpose of the map as per the description?,Why is the map being requested?    **A)** For a child's school project    **B)** For a historical study    **C)** For a travel guide    **D)** For a decorative piece,,
stable-diffusion-3-5,Maps,280,,(imperative) a realistic map illustrating (place) in (suggestion),maps,1,goldenrecordImages/maps/south_america/maps_south america_1800.png,,Is the following subject present in the image: 'Map of south america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map illustrating south america in 1800'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Create a realistic map illustrating south america in 1800,"['What is the primary object depicted in the image?', 'What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A painting    **D)** A sculpture', 'Which continent or region is the map focusing on?', 'What geographical area does the map illustrate?    **A)** North America    **B)** South America    **C)** Europe    **D)** Africa', 'In which year is the map set or supposed to represent?', 'What year does the map depict South America as of?    **A)** 1700    **B)** 1800    **C)** 1900    **D)** 2000', 'What style or quality is the map intended to convey?', 'How is the map supposed to illustrate South America?    **A)** In a stylized manner    **B)** In a realistic manner    **C)** In a futuristic way    **D)** In an abstract form', 'What is unique about the perspective or focus of this map compared to a standard geographical map?', 'Why might this map be considered historically significant?    **A)** Because it shows modern day borders    **B)** Because it illustrates the geography of South America in 1800    **C)** Because it is hand drawn    **D)** Because it is printed on unique material']",generatedImages/stable-diffusion-3-5/Maps/image_280.png,"['A map', 'B) A map', 'South America', 'B) South America', '1800', 'B) 1800', 'Realistic', 'B) In a realistic manner', 'It is set in the year 1800, providing a historical perspective.', 'B) Because it illustrates the geography of South America in 1800']",What is the primary object depicted in the image?,What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A painting    **D)** A sculpture,Which continent or region is the map focusing on?,What geographical area does the map illustrate?    **A)** North America    **B)** South America    **C)** Europe    **D)** Africa,In which year is the map set or supposed to represent?,What year does the map depict South America as of?    **A)** 1700    **B)** 1800    **C)** 1900    **D)** 2000,What style or quality is the map intended to convey?,How is the map supposed to illustrate South America?    **A)** In a stylized manner    **B)** In a realistic manner    **C)** In a futuristic way    **D)** In an abstract form,What is unique about the perspective or focus of this map compared to a standard geographical map?,Why might this map be considered historically significant?    **A)** Because it shows modern day borders    **B)** Because it illustrates the geography of South America in 1800    **C)** Because it is hand drawn    **D)** Because it is printed on unique material,,
sdv15,Maps,425,,(imperative) a realistic map illustrating (place) in (suggestion),maps,1,goldenrecordImages/maps/europe/maps_europe_1939.png,,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a realistic map illustrating europe in 1939'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Produce a realistic map illustrating europe in 1939,"['What is the primary object depicted in the image?', 'What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A graph    **D)** A painting', 'Which continent is the focus of the map?', 'What region does the map illustrate?    **A)** Asia    **B)** Africa    **C)** Europe    **D)** North America', 'In what year is the map set?', 'What year does the map represent?    **A)** 1919    **B)** 1929    **C)** 1939    **D)** 1949', 'What style is the map intended to be?', 'How is the map supposed to be illustrated?    **A)** Cartoonish    **B)** Abstract    **C)** Realistic    **D)** Minimalist', 'What historical period does the map reflect?', 'What significant event was about to occur or had just occurred in the year the map represents?    **A)** The start of World War I    **B)** The end of World War II    **C)** The start of World War II    **D)** The Cold War']",generatedImages/sdv15/Maps/image_425.png,"['A map', 'B) A map', 'Europe', 'C) Europe', '1939', 'C) 1939', 'Realistic', 'C) Realistic', 'Pre World War II', 'C) The start of World War II']",What is the primary object depicted in the image?,What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A graph    **D)** A painting,Which continent is the focus of the map?,What region does the map illustrate?    **A)** Asia    **B)** Africa    **C)** Europe    **D)** North America,In what year is the map set?,What year does the map represent?    **A)** 1919    **B)** 1929    **C)** 1939    **D)** 1949,What style is the map intended to be?,How is the map supposed to be illustrated?    **A)** Cartoonish    **B)** Abstract    **C)** Realistic    **D)** Minimalist,What historical period does the map reflect?,What significant event was about to occur or had just occurred in the year the map represents?    **A)** The start of World War I    **B)** The end of World War II    **C)** The start of World War II    **D)** The Cold War,,
sdxlturbo,Maps,404,,(imperative) a realistic map illustrating (place) in (suggestion),maps,1,goldenrecordImages/maps/north_america/maps_north america_1840.png,,Is the following subject present in the image: 'Map of north america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a realistic map illustrating north america in 1840'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Generate a realistic map illustrating north america in 1840,"['What is the primary object depicted in the image?', 'What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A painting    **D)** A graph', 'Which continent or region is illustrated in the map?', 'What geographical area does the map represent?    **A)** South America    **B)** Europe    **C)** North America    **D)** Africa', 'In what year is the map set or supposed to represent?', 'What year does the map illustrate North America as of?    **A)** 1800    **B)** 1850    **C)** 1840    **D)** 1900', 'What style or type of map is described?', 'How is the map described in terms of its style or representation?    **A)** Abstract    **B)** Cartoonish    **C)** Realistic    **D)** Futuristic', 'What historical period does the map represent?', ""What significant aspect of the map's creation or representation is emphasized?    **A)** Its size    **B)** Its realism    **C)** Its color    **D)** Its shape""]",generatedImages/sdxlturbo/Maps/image_404.png,"['A map', 'B) A map', 'North America', 'C) North America', '1840', 'C) 1840', 'Realistic', 'C) Realistic', 'The mid 19th century', 'B) Its realism']",What is the primary object depicted in the image?,What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A painting    **D)** A graph,Which continent or region is illustrated in the map?,What geographical area does the map represent?    **A)** South America    **B)** Europe    **C)** North America    **D)** Africa,In what year is the map set or supposed to represent?,What year does the map illustrate North America as of?    **A)** 1800    **B)** 1850    **C)** 1840    **D)** 1900,What style or type of map is described?,How is the map described in terms of its style or representation?    **A)** Abstract    **B)** Cartoonish    **C)** Realistic    **D)** Futuristic,What historical period does the map represent?,What significant aspect of the map's creation or representation is emphasized?    **A)** Its size    **B)** Its realism    **C)** Its color    **D)** Its shape,,
